"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study","D. Olewicki; L. Da Silva; O. B. Sghaier; S. Mujahid; A. Amini; B. Mah; M. Castelluccio; S. Habchi; F. Khomh; B. Adams",NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,IEEE Transactions on Software Engineering,"","2026","PP","99","1","12","Code review is a standard practice in modern software development, aiming to improve code quality.As providing constructive reviews on a submitted patch is a challenging and error-prone task, the advances of Large Language Models (LLMs) in performing natural language processing (NLP) tasks in a human-like fashion have prompted researchers to evaluate the LLMs’ ability to automate the code review process. However, outside lab settings, it is still unclear how prone reviewers are to accept comments generated by LLMs in a real development workflow. To fill this gap, we conduct a large-scale empirical case study in a live setup to evaluate the acceptance of LLM-generated comments and their impact on the review process. This case study was performed in two organizations, Mozilla (which has its codebase available as open-source) and Ubisoft (fully closedsource). Inside their usual review environment, participants were given access to RevMate, an LLM-based assistive tool that suggests generated review comments using an off-the-shelf LLM with Retrieval-Augmented Generation to provide extra code and review context, combined with LLM-as-a-Judge, to autoevaluate the generated comments and discard irrelevant cases. Based on more than 587 patch reviews, we observed that 8.1%, of LLM-generated comments were accepted by reviewers in each organization respectively, while 14.6% and 20.5% other comments were still marked as valuable as review or development tips. Refactoring-related comments are more likely to be accepted than Functional comments (18.2% and 18.6% compared to 4.8% and 5.2%). The extra time spent by reviewers to inspect generated comments or edit accepted ones (36/119), yielding an overall median of 43s per patch, is reasonable. The accepted generated comments are as likely to yield future revisions of the revised patch as human-written comments (74% vs 73% at chunk-level).","1939-3520","","10.1109/TSE.2026.3663093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11393512","Review automation;Review comment generation;Large Language Models;Case study","Reviews;Codes;Organizations;Retrieval augmented generation;Measurement;Chatbots;Surveys;Standards organizations;Prompt engineering;Large language models","","","","","IEEE","11 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Exploring Knowledge Filtering for Retrieval-Augmented Question Answering","M. Qiang; Z. Wang; S. Li; G. Zhou","School of Computer Science and Technology, Soochow University, Suzhou, China; School of Computer Science and Technology, Soochow University, Suzhou, China; School of Computer Science and Technology, Soochow University, Suzhou, China; School of Computer Science and Technology, Soochow University, Suzhou, China","IEEE Transactions on Audio, Speech and Language Processing","10 Feb 2026","2026","34","","1049","1060","Retrieval-Augmented Generation significantly enhances the performance of Large Language Models on knowledge-intensive tasks by incorporating external knowledge. However, retrieval is not always beneficial, as the presence of harmful knowledge in retrieved documents can degrade generation quality. While existing methods attempt to mitigate this by either assessing the necessity of retrieval or by compressing retrieved documents, they struggle to reject entirely harmful documents selectively. To address this, we propose a novel two-stage framework. First, we establish an annotation strategy to label the harmfulness of a document based on its impact on downstream task performance. Subsequently, our Knowledge Filtering module utilizes this annotated data to learn to identify and eliminate harmful knowledge. For this module, we develop and evaluate four distinct strategies, ranging from methods that leverage LLM self-evaluation and lightweight proxy models to those based on preference alignment. Experiments conducted on three diverse question answering datasets demonstrate that our approach effectively purges harmful knowledge, leading to more reliable and accurate responses.","2998-4173","","10.1109/TASLPRO.2026.3658957","National Natural Science Foundation of China(grant numbers:62376178); Jiangsu Key Laboratory of Language Computing(grant numbers:202500003); Priority Academic Program Development of Jiangsu Higher Education Institutions; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11367474","Retrieval-augmented generation;large language models;knowledge filtering;preference alignment","Filtering;Generators;Adaptation models;Accuracy;Question answering (information retrieval);Large language models;Reinforcement learning;Optimization;Noise;Retrieval augmented generation","","","","52","IEEE","29 Jan 2026","2026","","IEEE","IEEE Journals"
"LLM-assisted Performance Estimation of Embedded Software on RISC-V Processors","W. Zhang; M. Hassan; R. Drechsler","Institute of Computer Science, University of Bremen, Bremen, Germany; Institute of Computer Science, University of Bremen, Bremen, Germany; Institute of Computer Science, University of Bremen, Bremen, Germany",2025 IEEE 28th International Symposium on Design and Diagnostics of Electronic Circuits and Systems (DDECS),"21 May 2025","2025","","","7","12","In this paper, we present a methodology that combines a Large Language Model (LLM) with a traditional Machine Learning (ML) approach to estimate the performance of embedded software on RISC-V processors across different microarchitectures. In particular, we employ a Retrieval-Augmented Generation (RAG)-based LLM to extract performance-related information from processor specifications and source code. Additionally, we leverage the predictive capabilities of ML models to create Predictive Models (PMs) for RISC-V processors. To demonstrate the effectiveness of our hybrid approach, we present results on the performance estimation of open-source benchmarks using the generated PMs, with open-source RISC-V-based Register Transfer Level (RTL) implementations as reference models. Our results demonstrate that our proposed LLM-assisted methodology provides highly accurate predictions, with Mean Absolute Percentage Errors (MAPEs) of only 2.50% for SweRV core and 11.90% for RSD core, respectively. In comparison with the state-of-the-art methodology, our approach achieves significant improvements, reducing the MAPE by 61.54% for SweRV and 36.02% for RSD.","2473-2117","979-8-3315-2801-0","10.1109/DDECS63720.2025.11006767","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11006767","RISC-V;performance estimation;large language model;machine learning;embedded system","Program processors;Accuracy;Embedded systems;Source coding;Large language models;Machine learning;Predictive models;Benchmark testing;Register transfer level;Embedded software","","","","40","IEEE","21 May 2025","5-7 May 2025","5-7 May 2025","IEEE","IEEE Conferences"
"$\mathbf{A^{3}}$A3-CodGen: A Repository-Level Code Generation Framework for Code Reuse With Local-Aware, Global-Aware, and Third-Party-Library-Aware","D. Liao; S. Pan; X. Sun; X. Ren; Q. Huang; Z. Xing; H. Jin; Q. Li","School of Computing, Australian National University, Canberra, ACT, Australia; CSIRO’s Data61, Sydney, NSW, Australia; School of Computing, Australian National University, Canberra, ACT, Australia; State Key Laboratory of Blockchain and Data Security, Zhejiang University, Hangzhou, China; School of Computer Information Engineering, Jiangxi Normal University, Jiangxi, China; CSIRO’s Data61, Sydney, NSW, Australia; Jiangxi University of Technology, Jiangxi, China; Jiangxi University of Technology, Jiangxi, China",IEEE Transactions on Software Engineering,"11 Dec 2024","2024","50","12","3369","3384","LLM-based code generation tools are essential to help developers in the software development process. Existing tools often disconnect with the working context, i.e., the code repository, causing the generated code to be not similar to human developers. In this paper, we propose a novel code generation framework, dubbed $A^{3}$A3-CodGen, to harness information within the code repository to generate code with fewer potential logical errors, code redundancy, and library-induced compatibility issues. We identify three types of representative information for the code repository: local-aware information from the current code file, global-aware information from other code files, and third-party-library information. Results demonstrate that by adopting the $A^{3}$A3-CodGen framework, we successfully extract, fuse, and feed code repository information into the LLM, generating more accurate, efficient, and highly reusable code. The effectiveness of our framework is further underscored by generating code with a higher reuse rate, compared to human developers. This research contributes significantly to the field of code generation, providing developers with a more powerful tool to address the evolving demands in software development in practice.","1939-3520","","10.1109/TSE.2024.3486195","National Natural Science Foundation of China(grant numbers:62302437,62262031,62367003); Distinguished Youth Fund Project of the Natural Science Foundation of Jiangxi Province(grant numbers:20242BAB23011); Gan Po Talent Support Program-Academic and Technical Leaders Training Program in Major Disciplines of Jiangxi Province(grant numbers:20243BCE51007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10734067","Code generation;repository knowledge mining;code reuse;retrieval-augmented generation","Codes;Libraries;Software development management;Data mining;Benchmark testing;Transformers;Software engineering;Context modeling;Chatbots;Australia","","13","","89","IEEE","24 Oct 2024","Dec. 2024","","IEEE","IEEE Journals"
"Wired for Reuse: Automating Context-Aware Code Adaptation in IDEs via LLM-Based Agent","T. Wang; Y. Jiang; C. Dong; Y. Zhang; H. Liu","School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China; School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China",2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"28 Jan 2026","2025","","","178","190","Copy-paste-modify is a widespread and pragmatic practice in software development, where developers adapt reused code snippets, sourced from platforms such as Stack Overflow, GitHub, or LLM outputs, into their local codebase. A critical yet underexplored aspect of this adaptation is code wiring: the context-aware process of substituting unresolved variables in pasted code with suitable variables or expressions from the surrounding context. Existing solutions either rely on heuristic rules or historical templates, often failing to effectively utilize contextual information, despite studies showing that over half of adaptation cases are context-dependent. In this paper, we introduce WIRL, an LLM-based agent for code wiring framed as a Retrieval-Augmented Generation (RAG) infilling task. WIRL combines an LLM, a customized toolkit, and an orchestration module to identify unresolved variables, retrieve context, and perform context-aware substitutions. To balance efficiency and autonomy, the agent adopts a mixed strategy: deterministic rule-based steps for common patterns, and a state-machine-guided decision process for intelligent exploration. We evaluate WIRL on a carefully curated, high-quality dataset consisting of real-world code adaptation scenarios. Our approach achieves an exact match precision of 91.7% and a recall of 90.0%, outperforming advanced LLMs by 22.6 and 13.7 percentage points in precision and recall, respectively, and surpassing IntelliJ IDEA by 54.3 and 49.9 percentage points. These results underscore its practical utility, particularly in contexts with complex variable dependencies or multiple unresolved variables. We believe WIRL paves the way for more intelligent and context-aware developer assistance in modern IDEs.","2643-1572","979-8-3503-5733-2","10.1109/ASE63991.2025.00023","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11334399","Copy-paste-modify Practices;Code Reuse;Code Adaptation;Large Language Models;Agent","Wiring;Codes;Large language models;Retrieval augmented generation;Software development management;Software engineering;Pragmatics","","","","57","IEEE","28 Jan 2026","16-20 Nov. 2025","16-20 Nov. 2025","IEEE","IEEE Conferences"
"ORANSight-2.0: Foundational LLMs for O-RAN","P. Gajjar; V. K. Shah","NextG Wireless Laboratory, North Carolina State University, Raleigh, NC, USA; NextG Wireless Laboratory, North Carolina State University, Raleigh, NC, USA",IEEE Transactions on Machine Learning in Communications and Networking,"13 Aug 2025","2025","3","","903","920","Despite the transformative impact of Large Language Models (LLMs) across critical domains such as healthcare, customer service, and business marketing, their integration into Open Radio Access Networks (O-RAN) remains limited. This gap is primarily due to the absence of domain-specific foundational models, with existing solutions often relying on general-purpose LLMs that fail to address the unique challenges and technical intricacies of O-RAN. To bridge this gap, we introduce ORANSight-2.0 (O-RAN Insights), a pioneering initiative to develop specialized foundational LLMs tailored for O-RAN. Built on 18 models spanning five open-source LLM frameworks—Mistral, Qwen, Llama, Phi, and Gemma—ORANSight-2.0 fine-tunes models ranging from 1B to 70B parameters, significantly reducing reliance on proprietary, closed-source models while enhancing performance in O-RAN-specific tasks. At the core of ORANSight-2.0 is RANSTRUCT, a novel Retrieval-Augmented Generation (RAG)-based instruction-tuning framework that employs two LLM agents—a Mistral-based Question Generator and a Qwen-based Answer Generator—to create high-quality instruction-tuning datasets. The generated dataset is then used to fine-tune the 18 pre-trained open-source LLMs via QLoRA. To evaluate ORANSight-2.0, we introduce srsRANBench, a novel benchmark designed for code generation and codebase understanding in the context of srsRAN, a widely used 5G O-RAN stack. Additionally, we leverage ORAN-Bench-13K, an existing benchmark for assessing O-RAN-specific knowledge. Our comprehensive evaluations demonstrate that ORANSight-2.0 models outperform general-purpose and closed-source models, such as ChatGPT-4o and Gemini, by 5.421% on ORANBench and 18.465% on srsRANBench, achieving superior performance while maintaining lower computational and energy costs. We also experiment with RAG-augmented variants of ORANSight-2.0 models and observe that RAG augmentation improves performance by an average of 6.35% across benchmarks, achieving the best overall cumulative score of 0.854, which is 12.37% better than the leading closed-source alternative. We thoroughly evaluate the energy characteristics of ORANSight-2.0, demonstrating its efficiency in training, inference, and inference with RAG augmentation, ensuring optimal performance while maintaining low computational and energy costs. Additionally, the best ORANSight-2.0 configuration is compared against the available telecom LLMs, where our proposed model outperformed them with an average improvement of 27.96%.","2831-316X","","10.1109/TMLCN.2025.3592658","Public Wireless Supply Chain Innovation Fund(grant numbers:26-60-IF010,51-60-IF007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11096935","O-RAN;ORANSight;5G;LLM;ORANBench;srsRANBench;QLoRA;foundational models","Open RAN;Computational modeling;Adaptation models;Telecommunications;Benchmark testing;Training;Codes;Biological system modeling;Retrieval augmented generation;Data models","","4","","52","CCBY","25 Jul 2025","2025","","IEEE","IEEE Journals"
"MUATC: Multi-Agent Utilization to Augment Test Coverage","T. Ma; S. Liu; W. Dong; J. Liu; Y. Zhang","College of Computer Science and Technology, National University of Defense Technology, Changsha, China; College of Computer Science and Technology, National University of Defense Technology, Changsha, China; College of Computer Science and Technology, National University of Defense Technology, Changsha, China; College of Computer Science and Technology, National University of Defense Technology, Changsha, China; College of Computer Science and Technology, National University of Defense Technology, Changsha, China",2025 32nd Asia-Pacific Software Engineering Conference (APSEC),"24 Feb 2026","2025","","","184","195","Unit testing, as a critical means of ensuring software quality, is often constrained in practice by the high cost and low efficiency of manual test case construction, resulting in limited test coverage and scarcity of unit test cases in real-world projects. Traditional test generation tools can improve coverage but suffer from poor readability and limited generalization. In recent years, large language models (LLMs) have demonstrated strong potential in the field of test generation, owing to their powerful generalization and reasoning capabilities. However, the static nature of training data often causes hallucinations, undermining the reliability of generated tests. To address this, we propose MUATC, a multi-agent unit test generation framework based on LLMs. This work introduces, for the first time in coverage-driven LLM-based test generation, a multi-agent collaborative mechanism that integrates Chain-of-Thought reasoning and Retrieval-Augmented Generation to enhance both the quality and coverage of generated test cases. Additionally, we propose a unit test repair algorithm MTCRA aimed at further improving test coverage. The experimental results show that MUATC achieves 4.8%–5.5% higher coverage than Coverup, with performance gains independent of model architecture and programming languages. Compared with advanced LLM-based coverage enhancement tools such as ChatUniTest, TestPilot and Coverup, MUATC achieves a 12.7% improvement in test coverage on the benchmark dataset provided by ChatUniTest. To demonstrate the superior readability of test cases generated by MUATC, we conducted a readability study via the HumanEval platform. The results indicate that MUATC-generated test cases are significantly more readable than those produced by Pynguin. Therefore, to leverage the high readability of generated test cases, we also develop UnitTestPlat, a user-oriented platform for visualized unit test generation.","2640-0715","979-8-3315-6653-1","10.1109/APSEC66846.2025.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11396580","Automatic Unit Testing Generation;Large Language Models","Large language models;Retrieval augmented generation;Training data;Software quality;Manuals;Performance gain;Cognition;Test pattern generators;Reliability;Software engineering","","","","36","IEEE","24 Feb 2026","2-5 Dec. 2025","2-5 Dec. 2025","IEEE","IEEE Conferences"
"Augmenting Large Language Models with Static Code Analysis for Automated Code Quality Improvements","S. M. Abtahi; A. Azim","Faculty of Engineering and Applied Science, Ontario Tech University; Faculty of Engineering and Applied Science, Ontario Tech University",2025 IEEE/ACM Second International Conference on AI Foundation Models and Software Engineering (Forge),"2 Jul 2025","2025","","","82","92","This study examined code issue detection and revision automation by integrating Large Language Models (LLMs) such as OpenAI’s GPT-3.5 Turbo and GPT-4o into software development workflows. A static code analysis framework detects issues such as bugs, vulnerabilities, and code smells within a large-scale software project. Detailed information on each issue was extracted and organized to facilitate automated code revision using LLMs. An iterative prompt engineering process is applied to ensure that prompts are structured to produce accurate and organized outputs aligned with the project requirements. Retrieval-augmented generation (RAG) is implemented to enhance the relevance and precision of the revisions, enabling LLM to access and integrate real-time external knowledge. The issue of LLM hallucinations—where the model generates plausible but incorrect outputs—is addressed by a custom-built ""Code Comparison App,"" which identifies and corrects erroneous changes before applying them to the codebase. Subsequent scans using the static code analysis framework revealed a significant reduction in code issues, demonstrating the effectiveness of combining LLMs, static analysis, and RAG to improve code quality, streamline the software development process, and reduce time and resource expenditure.","","979-8-3315-0211-9","10.1109/Forge66646.2025.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11052822","LLMs;Static Code Analysis;Issue Detection;GPT-3.5 Turbo;GPT-4o;Prompt Engineering;RAG;Code Comparison;Software Development Automation","Codes;Costs;Automation;Large language models;Retrieval augmented generation;Software quality;Static analysis;Real-time systems;Prompt engineering;Software development management","","3","","36","IEEE","2 Jul 2025","27-28 April 2025","27-28 April 2025","IEEE","IEEE Conferences"
"GraphCoder: Enhancing Repository-Level Code Completion via Coarse-to-fine Retrieval Based on Code Context Graph","W. Liu; A. Yu; D. Zan; B. Shen; W. Zhang; H. Zhao; Z. Jin; Q. Wang","Key Lab of High Confidence Software Technologies (PKU), MoE, China School of Computer Science, PKU, Beijing, China; Key Lab of High Confidence Software Technologies (PKU), MoE, China School of Computer Science, PKU, Beijing, China; Institute of Software, Chinese Academy of Sciences, Beijing, China; Huawei Cloud Computing Technologies Co., Ltd., Beijing, China; Key Lab of High Confidence Software Technologies (PKU), MoE, China School of Computer Science, PKU, Beijing, China; Key Lab of High Confidence Software Technologies (PKU), MoE, China School of Computer Science, PKU, Beijing, China; Key Lab of High Confidence Software Technologies (PKU), MoE, China School of Computer Science, PKU, Beijing, China; Huawei Cloud Computing Technologies Co., Ltd., Beijing, China",2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"29 Nov 2024","2024","","","570","581","The performance of repository-level code completion depends upon the effective leverage of both general and repository-specific knowledge. Despite the impressive capability of code LLMs in general code completion tasks, they often exhibit less satisfactory performance on repository-level completion due to the lack of repository-specific knowledge in these LLMs. To address this problem, we propose GraphCoder, a retrieval-augmented code completion framework that leverages LLMs’ general code knowledge and the repository-specific knowledge via a graph-based retrieval-generation process. In particular, GraphCoder captures the context of completion target more accurately through code context graph (CCG) that consists of control-flow, data- and control-dependence between code statements, a more structured way to capture the completion target context than the sequence-based context used in existing retrieval-augmented approaches; based on CCG, GraphCoder further employs a coarse-to-fine retrieval process to locate context-similar code snippets with the completion target from the current repository. Experimental results demonstrate both the effectiveness and efficiency of GraphCoder: Compared to baseline retrieval-augmented methods, GraphCoder achieves higher exact match (EM) on average, with increases of +6.06 in code match and +6.23 in identifier match, while using less time and space.CCS Concepts• Software and its engineering → Search-based software engineering; • Information systems → Language models; Query representation; • Mathematics of computing → Graph algorithms.","2643-1572","979-8-4007-1248-7","","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10765009","Code completion;Large language model;Retrieval augmented generation;Code graphs","Codes;Accuracy;Filtering;Computational modeling;Software algorithms;Process control;Software;Mathematical models;Software engineering;Information systems","","2","","46","","29 Nov 2024","27 Oct.-1 Nov. 2024","27 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"AI-Powered Personalized Medication Recommender by Using RAG","S. Manohar; A. Kumar; L. Chandrika","Department of Computer Science and Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, India; Department of Computer Science and Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, India; Department of Computer Science and Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Avadi, Chennai, India","2026 International Conference on Communication, Computing and Emerging Technologies (IC3ET)","9 Apr 2026","2026","","","642","648","I believe that modern healthcare cannot afford to adhere to generalized recommendations since this usually results in ineffective treatment solutions and dangerous responses to medication- primarily due to the lack of consideration of the specific features of every patient. We are intending on the implementation of an AI-based Personalized Medication Recommender System, which will dynamically prescribe an optimised dosage and therapy plan using a state-of-the-art generative model known as RAG, to each individual. The fundamental approach will extract real-world and large-scale clinical data using MIMICIII and MIMIC-IV databases, authenticate the pharmacological knowledge using DrugBank, and conform to the international health standards using the WHO API. The difference here is the RAG architecture, which integrates the retrieval of factual information, such as with the use of such techniques as the vector based embeddings, and highly aggressive reasoning provided by finetuned large language model. This evidence-based framework will ensure the safety, evidence-based, and highly individualized nature of the recommendations provided by clinicians, and will offer a clear rationale behind each suggestion; hence, developing a strong foundation to a scalable and ethical clinical decision support framework.","","979-8-3315-8105-3","10.1109/IC3ET64989.2026.11467324","National Institutes of Health(grant numbers:R01EB030362,R01-EB017205,R01-EB001659,R01-GM104987); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11467324","AI;RAG;Personalized Medicine;Clinical Decision Support System;Electronic Health Records;MIMIC Databases;Explainable AI","Feeds;Filtering;MIMICs;Recommender systems;Filters;Information filtering;Millimeter wave integrated circuits;Monolithic integrated circuits;Circuits and systems;Collaborative filtering","","","","30","IEEE","9 Apr 2026","9-10 Feb. 2026","9-10 Feb. 2026","IEEE","IEEE Conferences"
"Rethinking Code Review Workflows with LLM Assistance: An Empirical Study","F. S. Aðalsteinsson; B. B. Magnússon; M. Milicevic; A. N. Davidsson; C. -H. Cheng","WirelessCar Sweden AB, Gothenburg, Sweden; WirelessCar Sweden AB, Gothenburg, Sweden; WirelessCar Sweden AB, Gothenburg, Sweden; WirelessCar Sweden AB, Gothenburg, Sweden; Chalmers University of Technology, Gothenburg, Sweden",2025 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),"12 Jan 2026","2025","","","488","497","Background: Code reviews are a critical yet timeconsuming aspect of modern software development, increasingly challenged by growing system complexity and the demand for faster delivery. Aims: We examine how large language models (LLMs) can support code reviews by addressing common inefficiencies and contextual gaps. Method: At WirelessCar Sweden $A B$, we conducted an exploratory field study to identify current challenges, followed by a field experiment with two LLM-assisted review prototypes: one providing upfront, AIgenerated reviews and another enabling on-demand interaction. Both used a retrieval-augmented generation pipeline to assemble relevant contextual information. Results: The field study revealed frequent context switching, insufficient contextual information, and concerns around false positives. In practice, developers generally preferred the AI-led approach, especially for large or unfamiliar pull requests, though preferences varied with codebase familiarity and review risk. Conclusions: LLM-assisted reviews can reduce cognitive load and improve comprehension, with hybrid proactive/on-demand designs best balancing efficiency, trust, and reviewer control.","","979-8-3315-9147-2","10.1109/ESEM64174.2025.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11323409","Large Language Models;Code Review;Empirical Software Engineering","Codes;Reviews;Large language models;Retrieval augmented generation;Pipelines;Prototypes;Switches;Software measurement;Software engineering;Software development management","","2","","15","IEEE","12 Jan 2026","2-3 Oct. 2025","2-3 Oct. 2025","IEEE","IEEE Conferences"
"From User Stories to Architectures: Using LLM-powered Agents to Design and Improve Microservice-based Software","M. Calamo; F. Monti; F. Spaziani; F. Leotta; M. Mecella","Sapienza Università di Roma, Rome, Italy; Sapienza Università di Roma, Rome, Italy; DotNetCode, Rome, Italy; Sapienza Università di Roma, Rome, Italy; Sapienza Università di Roma, Rome, Italy",IEEE Software,"","2026","PP","99","1","8","Large Language Models have rapidly transformed how developers write and test code, yet their use in software architecture design remains limited. Current AI-powered assistants can generate useful snippets of code but lack a holistic view of how modules should interact to form reliable systems. We discuss ArchiLLM, an LLM-based framework that extends the capabilities of AI assistants from code generation to architecture synthesis. Given minimal textual input, such as requirements or user stories, ArchiLLM envisions a high-level microservice-based architecture before generating code, aiming to improve the reliability and coherence of AI-produced systems. The approach is validated using the Archi Dataset, built from academic and open-source microservice projects, and evaluated through quantitative metrics and expert feedback. Results suggest that ArchiLLM can effectively assist software designers in moving from abstract requirements to consistent architectures to better code, marking a step toward AI-supported software design and development.","1937-4194","","10.1109/MS.2026.3668669","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415663","","Codes;Microservice architectures;Software;Computer architecture;Generators;Software reliability;Retrieval augmented generation;Natural languages;Testing;Source coding","","","","","IEEE","27 Feb 2026","","","IEEE","IEEE Early Access Articles"
"MDRE-LLM: A Tool for Analyzing and Applying LLMs in Software Reverse Engineering","A. Boronat; J. Mustafa","School of Computing and Mathematical Sciences, University of Leicester, Leicester, UK; School of Computing and Mathematical Sciences, University of Leicester, Leicester, UK","2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","21 May 2025","2025","","","850","854","Understanding and maintaining software systems often requires extracting high-level abstractions, such as domain models, from source code. MDRE-LLM addresses this challenge by integrating Large Language Models (LLMs) with traditional Model-Driven Reverse Engineering (MDRE) techniques, offering an innovative approach to automate and enhance domain model recovery. The tool supports flexible granularity strategies and validates LLM -generated models against deterministic baselines. MDRE-LLM addresses diverse use cases, including analyzing legacy systems with minimal documentation, rapidly compre-hending large-scale codebases, and validating LLM performance in reverse engineering tasks. These capabilities have the potential to improve software analysis and refactoring while advance AI-driven research and education by fostering systematic experimentation and collaboration. The tool and a webcast are available at https://zenodo.org/uploads/14072106.","2640-7574","979-8-3315-3510-0","10.1109/SANER64311.2025.00090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992421","Reverse engineering;domain model recovery;large language models;RAG","Analytical models;Systematics;Large language models;Source coding;Reverse engineering;Collaboration;Documentation;Aging;Software systems","","3","","12","IEEE","21 May 2025","4-7 March 2025","4-7 March 2025","IEEE","IEEE Conferences"
"Ontology-Driven Multimodal Framework for Automated Interpretation and Description of Architecture Diagrams","S. Thangaraj; N. K. Shukla; V. Krishnamurthy","Global Industries AI Team, Oracle Corporation, Bengaluru, India; Global Industries AI Team, Oracle Corporation, Bengaluru, India; Global Industries AI Team, Oracle Corporation, Bengaluru, India",2025 IEEE International Conference on Big Data (BigData),"6 Mar 2026","2025","","","2493","2502","Architecture diagrams play a critical role in domains such as software engineering, utilities, and infrastructure, yet they are often available only as unstructured images lacking machine-readable semantics, limiting their utility in retrievalaugmented generation (RAG) based enterprise knowledge assistants. This paper presents a multimodal framework that integrates optical character recognition (OCR), ontology-guided component identification, and multimodal large language models (LLMs) to automatically generate high-level, interpretable design descriptions from architecture diagrams without requiring source code or documentation. Visual and textual cues are fused to capture component roles, data flows, and architectural patterns, while a novel evaluation metric, Ontology-Guided Factual Accuracy (OGFA), quantifies factual alignment between descriptions and diagram content, complementing semantic similarity scores. Experiments with OpenAI GPT-4.1 and Mata Llama 4 Maverick demonstrate strong factual and contextual performance, establishing a scalable and verifiable pipeline for automated architecture interpretation, documentation automation, and intelligent system querying in modern enterprise AI workflows.","2573-2978","979-8-3315-9447-3","10.1109/BigData66926.2025.11402186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11402186","architecture diagrams;block diagrams;flowcharts;ocr;multi-modal llm;rag systems;factual accuracy;knowledge assistant","Measurement;Visualization;Accuracy;Source coding;Semantics;Optical character recognition;Pipelines;Documentation;Reliability;Software engineering","","","","18","IEEE","6 Mar 2026","8-11 Dec. 2025","8-11 Dec. 2025","IEEE","IEEE Conferences"
"RTLFixer: Automatically Fixing RTL Syntax Errors with Large Language Models","Y. Tsai; M. Liu; H. Ren",NVIDIA; NVIDIA; NVIDIA,2024 61st ACM/IEEE Design Automation Conference (DAC),"1 Jan 2026","2024","","","1","6","This paper presents RTLFixer, a novel framework enabling automatic syntax errors fixing for Verilog code with Large Language Models (LLMs). Despite LLM’s promising capabilities, our analysis indicates that approximately 55% of errors in LLM-generated Verilog are syntax-related, leading to compilation failures. To tackle this issue, we introduce a novel debugging framework that employs Retrieval-Augmented Generation (RAG) and ReAct prompting, enabling LLMs to act as autonomous agents in interactively debugging the code with feedback. This framework demonstrates exceptional proficiency in resolving syntax errors, successfully correcting about 98.5% of compilation errors in our debugging dataset, comprising 212 erroneous implementations derived from the VerilogEval benchmark. Our method leads to 32.3% and 10.1% increase in pass@1 success rates in the VerilogEval-Machine and VerilogEval-Human benchmarks, respectively. The source code and benchmark are available at https://github.com/NVlabs/RTLFixer.","","979-8-3503-4948-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11294897","","Codes;Design automation;Large language models;Source coding;Retrieval augmented generation;Debugging;Syntactics;Benchmark testing;Autonomous agents;Hardware design languages","","4","","21","","1 Jan 2026","23-27 June 2024","23-27 June 2024","IEEE","IEEE Conferences"
